Reaction ID,RXN type,Reactant(s)
33381084,inter_rxn_one_to_beta,"['C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12', 'Brc1ccc(-c2ccccc2)cc1']"
33381087,inter_rxn_one_to_beta,"['C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12', 'FC(F)(F)c1ccc(Br)cc1']"
33381089,inter_rxn_one_to_beta,"['C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12', 'FC(F)(F)c1ccc(Br)cc1']"
33408188,inter_rxn_one_to_beta,"['C=CC(=O)N1N=Cc2ccccc2C1C=C(C)C', 'COc1cc(Cc2cnc(N)nc2N)cc(I)c1OC']"
33427588,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC(C)(C)c1ccc(N)c(Br)c1']"
33690499,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'O=[N+]([O-])c1ccc(Br)c(Br)c1']"
33690500,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=[N+]([O-])c1ccc(Br)c(Br)c1']"
33747632,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=c1oc(-c2ccccc2)c(I)c2sc3c(c12)CCCC3']"
33747634,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=c1oc(-c2ccccc2)c(I)c2sc3c(c12)CCC3']"
33747641,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=c1oc(-c2ccccc2)c(I)c2sc3c(c12)CCCCC3']"
33821297,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=C1c2ccc(Br)cc2CN1CC(F)(F)F']"
33961398,inter_rxn_one_to_beta,"['C=CC(=O)N1N=Cc2ccccc2C1c1ccccc1C', 'COc1cc(Cc2cnc(N)nc2N)cc(I)c1OC']"
33961415,inter_rxn_one_to_beta,"['C=CC(=O)N1N=Cc2ccccc2C1c1cccc(F)c1', 'COc1cc(Cc2cnc(N)nc2N)cc(I)c1OC']"
33988832,inter_rxn_one_to_alpha,"['C=COCCCC', 'COCN(c1cccc(Br)c1F)S(=O)(=O)c1cc(F)ccc1F']"
34050817,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'CCOC(=O)c1cc2cc(Br)ccc2oc1=O']"
34123671,inter_rxn_one_to_beta,"['C=CC(=O)NCc1ccc(F)c(F)c1', 'O=c1c(I)coc2cc(O)ccc12']"
34123709,inter_rxn_one_to_beta,"['C=CC(=O)Nc1ccccc1', 'COc1cc2oc(-c3ccccc3)c(I)c(=O)c2cc1OC']"
34123716,inter_rxn_one_to_beta,"['C=CC(=O)NCCc1ccc(F)cc1', 'O=c1c(I)c(-c2ccc(O)cc2)oc2cc(O)ccc12']"
34123722,inter_rxn_one_to_beta,"['C=CC(=O)NC1CCCCC1', 'O=c1c(I)c(-c2ccc(O)cc2)oc2cc(O)ccc12']"
34123724,inter_rxn_one_to_beta,"['C=CC(=O)N1CCCCC1', 'O=c1c(I)c(-c2ccc(O)cc2)oc2cc(O)ccc12']"
34128876,inter_rxn_one_to_beta,"['C=COCCCC', 'CCc1cc2c(OS(=O)(=O)C(F)(F)F)cccn2n1']"
34597415,inter_rxn_one_to_beta,"['C=CC(=O)N(C)CCN(C)C(=O)OC(C)(C)C', 'Nc1ccc(CO)cc1I']"
34909468,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'N#Cc1ccc(OS(=O)(=O)C(F)(F)F)c(C(F)(F)F)c1']"
35050725,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'Cc1cc(Br)c2oc(-c3ccccc3)cc2c1']"
35246124,inter_rxn_one_to_beta,"['C=CC(=O)NCc1ccc(C)cc1', 'COc1ccc2c(=O)c(I)coc2c1']"
35246125,inter_rxn_one_to_beta,"['C=CC(=O)NCc1ccc(C)cc1', 'O=c1c(I)coc2cc(O)ccc12']"
35246127,inter_rxn_one_to_beta,"['C=CC(=O)NCc1ccc(OC)cc1', 'O=c1c(I)coc2cc(O)ccc12']"
35246147,inter_rxn_one_to_beta,"['C=CC(=O)Nc1cc(C)ccc1C', 'COc1ccc2c(=O)c(I)coc2c1']"
35246149,inter_rxn_one_to_beta,"['C=CC(=O)Nc1cccc(OC)c1', 'COc1ccc2c(=O)c(I)coc2c1']"
35389252,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1Br']"
35603164,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'Oc1cccc(I)c1']"
35771825,inter_rxn_one_to_beta,"['C=Cc1ccc(C#N)cc1', 'O=Cc1ccc(Br)cc1']"
35829102,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'OCc1cc(Br)ccc1Cl']"
36597049,inter_rxn_one_to_beta,"['C=Cc1ccc(CC)cc1', 'CCOc1ccc(-n2cnc3cc(Br)cnc32)cc1']"
36904884,inter_rxn_one_to_beta,"['C=C[C@@H](C(=O)N1C(=O)OC[C@H]1Cc1ccccc1)[C@H](C)O[Si](C)(C)C(C)(C)C', 'C[C@@H](O)c1ccc2ccc(Br)cc2n1']"
36906011,inter_rxn_one_to_beta,"['C=CC(C)(C)C(=O)O', 'CC(C)(C)OC(=O)N[C@@H](c1ccc2ccc(Br)cc2n1)C(F)(F)F']"
37076803,inter_rxn_one_to_beta,"['C=Cc1ccc2cccc[n+]2c1', 'CN(C)c1ccc(I)cc1']"
37076804,inter_rxn_one_to_beta,"['C=Cc1ccc[n+]2ccccc12', 'CN(C)c1ccc(I)cc1']"
37076805,inter_rxn_one_to_beta,"['C=Cc1cc[n+]2ccccc2c1', 'Ic1ccsc1']"
37076807,inter_rxn_one_to_beta,"['C=Cc1ccc2cccc[n+]2c1', 'Ic1ccsc1']"
37076808,inter_rxn_one_to_beta,"['C=Cc1ccc2cccc[n+]2c1', 'COc1ccc(I)cc1']"
37266868,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Cc1cc(O)c(C23CC4CC(CC(C4)C2)C3)cc1-c1ncc(Br)s1']"
37282512,inter_rxn_one_mixture,"['C=Cc1ccccc1', 'Cc1cccc(I)c1']"
37666655,inter_rxn_one_to_alpha,"['C=CN1CCCC1=O', 'CCOC(=O)c1cc2cc(Br)ccc2[nH]1']"
37737955,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'O=c1c(Cl)nc2ccccc2n1Cc1ccc([N+](=O)[O-])cc1']"
37737956,inter_rxn_one_to_beta,"['C=CC(=O)NC(C)(C)C', 'O=c1c(Cl)nc2ccccc2n1Cc1ccc([N+](=O)[O-])cc1']"
37737957,inter_rxn_one_to_beta,"['C=Cc1ccc(F)cc1', 'O=c1c(Cl)nc2ccccc2n1Cc1ccc([N+](=O)[O-])cc1']"
37871284,inter_rxn_one_to_beta,"['C=CCC#N', 'CS[C@H]1O[C@@H](c2ccc(C)c(Cc3ccc(Cl)cc3)c2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O']"
38086295,inter_rxn_one_to_beta,"['C=Cc1ccc(OC)cc1', 'COc1ccc(/C=C/c2[nH]c3ccccc3c(=O)c2I)cc1']"
38094547,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'F[B-]1(F)N2C(Br)=CC=CC2=Nc2cccc[n+]21']"
38406143,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Cc1cc(O)ccc1Br']"
38451114,inter_rxn_one_to_beta,"['C=CC(=O)Nc1ccc(Cl)cc1', 'CC(C)(C)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccc(I)cc1-3']"
38451115,inter_rxn_one_to_beta,"['C=CC(=O)Nc1ccc(C)cc1', 'CC(C)(C)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccc(I)cc1-3']"
39452844,inter_rxn_one_to_beta,"['C=Cc1ccc2ccccc2c1', 'N#Cc1ccc(Br)cc1']"
39452847,inter_rxn_one_to_beta,"['C=Cc1ccc2ccccc2c1', 'Cc1ccccc1Br']"
39600358,inter_rxn_one_to_beta,"['C=CS(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F', 'O=[N+]([O-])c1ccc(I)cc1']"
39877212,inter_rxn_one_to_beta,"['C=CC#N', 'COc1ccccc1Oc1cc(Cl)cc(I)c1']"
40183395,inter_rxn_one_to_beta,"['C=Cc1ccc2c(c1)Sc1ccccc1N2CCCC', 'Brc1ccc(/C=C/c2ccncc2)c2nsnc12']"
40258486,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'O=Cc1cc(OCc2c(-c3ccc(Cl)cc3)nsc2C(F)(F)F)ccc1Br']"
40384743,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'COc1ccc2c(c1)CCN(c1ccc(C(C)C)s1)C2(C)c1ccc(Br)cc1']"
40385261,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CCCc1ccc(N2CCc3cc(OC)ccc3C2(C)c2ccc(Br)cc2)cc1Cl']"
40544244,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CCCc1oc([C@@H](Cc2ccccc2)NC(=O)OC(C)(C)C)cc1I']"
40604626,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'CCN1C(=O)c2ccc(Br)cc2C1=O']"
40607595,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Cc1cc(F)c(CN(C)C)cc1Br']"
40630787,inter_rxn_one_to_beta,"['C=CCCCc1ccccc1', 'COCc1ccccc1Br']"
40869264,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC1(C)CC(Nc2ccc(Br)c(F)c2[N+](=O)[O-])CC(C)(C)C1']"
40946460,inter_rxn_one_to_beta,"['C=Cc1ccccc1O', 'Oc1ccccc1Br']"
40946461,inter_rxn_one_to_beta,"['C=Cc1ccccc1O', 'COc1ccccc1Br']"
40946464,inter_rxn_one_to_beta,"['C=Cc1ccccc1O', 'Nc1ccccc1Br']"
40946471,inter_rxn_one_to_beta,"['C=Cc1cccc(O)c1', 'Nc1ccccc1Br']"
40946475,inter_rxn_one_to_beta,"['C=Cc1ccc(O)cc1', 'COc1cccc(Br)c1']"
40946477,inter_rxn_one_to_beta,"['C=Cc1ccc(O)cc1', 'Oc1ccc(Br)cc1']"
40946486,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'CCCCCCCCCCCC(=O)Nc1ccccc1Br']"
40946487,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'CCCCCCCCCCCC(=O)Nc1ccc(Br)cc1']"
40946493,inter_rxn_one_to_beta,"['C=Cc1ccc(OC)cc1', 'Nc1ccc(Br)cc1']"
41018962,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC(C)(C)[Si](C)(C)OCCc1ccc(NC(=O)CCCc2ccc(Br)cc2)cc1']"
41064352,inter_rxn_one_to_beta,"['C=CC(N)=O', 'Brc1ccc(-c2cncnc2)cc1']"
41240862,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'COc1ccc(S(=O)(=O)N2CCc3cc(Br)cnc32)cc1']"
41254228,inter_rxn_one_to_beta,"['C=CC(N)=O', 'CC1CC(C=O)=C(Br)c2ccccc21']"
41254232,inter_rxn_one_to_beta,"['C=CC(N)=O', 'O=C/C1=C(\\Br)CCCCCC1']"
41254236,inter_rxn_one_to_beta,"['C=CC(N)=O', 'O=CC1=C(Br)CCCCC1']"
41254239,inter_rxn_one_to_beta,"['C=CC(N)=O', 'O=CC1=C(Br)CCCC1']"
41254249,inter_rxn_one_to_beta,"['C=CC(N)=O', 'COc1ccc2c(c1)CCC(C=O)=C2Br']"
41485311,inter_rxn_one_to_beta,"['C=CC(C)=O', 'O=c1oc(Br)cc2ccccc12']"
41580860,inter_rxn_one_to_beta,"['C=CC(=O)OCc1ccccc1', 'Brc1ccc(-c2ccccc2)nc1']"
41580864,inter_rxn_one_to_beta,"['C=CC(=O)OCc1ccccc1', 'Ic1ccn(-c2ccccc2)n1']"
41630084,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC(=O)Oc1c(CC=C(C)C)cc(OS(=O)(=O)C(F)(F)F)cc1CC=C(C)C']"
42019688,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Nc1ccncc1Br']"
42109633,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Cc1cc2c(cc1C(F)(F)F)NC(=O)CC(c1cccc(Br)c1)=N2']"
42228910,inter_rxn_one_to_beta,"['C=Cc1ccc(/C=C/c2ccc3c(c2)Sc2ccccc2N3CC)cc1', 'O=Cc1ccc(Br)cc1']"
42377113,inter_rxn_one_to_beta,"['C=Cc1ccccn1', 'Cc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@]1(C)F']"
42421413,inter_rxn_one_to_beta,"['C=CC#N', 'Oc1ccnc2ccc(Br)cc12']"
42755066,inter_rxn_one_to_beta,"['C=CCC(=O)O', 'COc1cccc(I)c1']"
42814833,inter_rxn_one_to_beta,"['C=Cc1ccc([N+](=O)[O-])cc1', 'Oc1ccc(I)cc1']"
42814834,inter_rxn_one_to_beta,"['C=Cc1ccc(OC)cc1', 'Oc1ccc(I)cc1']"
42889031,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'COc1ccc(S(=O)(=O)c2ccc3ccc(Br)cc3n2)cc1']"
43226648,inter_rxn_one_to_beta,"['C=Cc1cc(C)c(OCOCCOC)c(C)c1', 'O=[N+]([O-])c1ccc2nc(Cl)ccc2c1']"
43266165,inter_rxn_one_to_beta,"['C=CCN(CC(=O)OC(C)(C)C)C(=O)OC(C)(C)C', 'Nc1ccc([N+](=O)[O-])cc1I']"
43499307,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=Cc1cc(OCc2ccccc2)ccc1Br']"
43593985,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Cc1cc(I)ccc1O']"
43644053,inter_rxn_one_to_beta,"['C=CC(C)(C)O', 'CN(C)C(=O)c1cccc2nc3cccc(Br)c3nc12']"
43858415,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'COc1cc(Br)cc2cc(-c3ccc4c(c3)OCO4)oc12']"
43858416,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'COc1cc(Br)cc2cc(-c3ccc4c(c3)OCO4)oc12']"
43858421,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'COc1ccc(-c2cc3cc(Br)cc(OC)c3o2)cc1OC']"
43867535,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Nc1ccc(Br)cc1[N+](=O)[O-]']"
43867834,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Nc1ccc(Cl)cc1Br']"
43981860,inter_rxn_one_to_beta,"['C=Cc1ccc2c(c1)c1ccccc1n2CCCCCC', 'Brc1cnc2ccccc2c1']"
44003209,inter_rxn_one_to_beta,"['C=Cc1cccc(C)c1', 'Ic1ccccc1']"
44003211,inter_rxn_one_to_beta,"['C=Cc1cccc(Cl)c1', 'Ic1ccccc1']"
44139301,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=Cc1c(O)ccc2cc(Br)ccc12']"
44157741,inter_rxn_one_to_beta,"['C=C[C@@]1(O)[C@@H]([C@H]2COC(C)(C)O2)O[C@@H]2OC(C)(C)O[C@@H]21', 'O=c1cc(-c2ccccc2)oc2cc(Br)ccc12']"
44192317,inter_rxn_one_to_beta,"['C=Cc1ccc(C(C)(C)C)cc1', 'O=Cc1cc(Br)cc(C=O)c1']"
44238183,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'CCc1cc(C(=O)N2CCCCCC2C)nc2cc(-c3ccc(Br)cc3F)nn12']"
44296177,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'COc1ccc(Br)cn1']"
44383130,inter_rxn_one_to_beta,"['C=CC(=O)O[C@H]1C(C)(C)[C@H]2CC[C@]1(C)C2', 'O=Cc1ccccc1Br']"
44383133,inter_rxn_one_to_beta,"['C=CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C', 'O=Cc1ccccc1Br']"
44383134,inter_rxn_one_to_beta,"['C=CC(=O)O[C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C', 'O=Cc1ccccc1Br']"
44503938,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CN(C)Cc1cn(S(=O)(=O)c2cccc(Br)c2)c2ccccc12']"
44503946,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CN(C)C(=O)c1cn(S(=O)(=O)c2cccc(Br)c2)c2ccccc12']"
44503992,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CN(C)C(=O)c1cn(Cc2ccc(Br)cc2)c2ccccc12']"
44555763,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC1CC(n2c(Nc3ccc(OC(F)(F)F)cc3)nc3cc(Br)ccc32)CC(C)(C)C1']"
45137123,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CN(C)c1ccc(-c2ccc(CN(C(=O)C3CCOCC3)c3cc(Br)ccn3)cc2)cc1']"
45150645,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'O=S(=O)(NCc1cccc2[nH]ccc12)c1ccc(Br)cc1']"
45150665,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Cn1ccc2c(CCNS(=O)(=O)c3ccc(Br)cc3)cccc21']"
45150669,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'COc1ccc(S(=O)(=O)n2ccc3c(CCNS(=O)(=O)c4ccc(Br)cc4)cccc32)cc1']"
45367559,inter_rxn_one_to_beta,"['C=Cc1ccncc1', 'Ic1ccc2c(c1)OCO2']"
45367604,inter_rxn_one_to_beta,"['C=Cc1ccccc1OC', 'Ic1ccc2c(c1)OCO2']"
45890839,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CCc1cc2c(C)nc(C)nc2n1Cc1ccc(Br)cc1']"
45890878,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CCc1nc2c(C)cc(C)nc2n1Cc1ccc(Br)cc1']"
46091880,inter_rxn_one_to_beta,"['C=Cc1ccc(/C=C/c2cccs2)cc1', 'O=Cc1ccc(Br)cc1']"
46091881,inter_rxn_one_to_beta,"['C=Cc1ccc(/C=C/c2cccn2C)cc1', 'O=Cc1ccc(Br)cc1']"
46103637,inter_rxn_one_to_beta,"['C=Cc1ccc(N(C)C)cc1', 'CCCn1c(=O)c(C)nc2ccc(Br)cc21']"
46443453,inter_rxn_one_to_beta,"['C=C[C@](C)(CC=C(C)C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C', 'COc1ccc(I)cc1']"
46577154,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=Cc1c(F)cc(Br)cc1F']"
46590265,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'C=C(I)C1Oc2ccccc2N1S(C)(=O)=O']"
46709017,inter_rxn_one_to_beta,"['C=CCO[C@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O', 'Ic1ccc(-c2ccccc2)cc1']"
46709025,inter_rxn_one_to_beta,"['C=CCO[C@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O', 'Ic1ccccc1-c1ccccc1']"
46713315,inter_rxn_one_to_beta,"['C=CCn1c(-c2ccc(CC)cc2)nc2ccccc2c1=O', 'O=C(CN1C(=O)COc2ccccc21)c1ccc(Br)cc1']"
46713320,inter_rxn_one_to_beta,"['C=CCn1c(-c2cccc(OC)c2)nc2ccccc2c1=O', 'O=C(CN1C(=O)COc2ccccc21)c1ccc(Br)cc1']"
46713321,inter_rxn_one_to_beta,"['C=CCn1c(-c2ccc(Cl)cc2Cl)nc2ccccc2c1=O', 'O=C(CN1C(=O)COc2ccccc21)c1ccc(Br)cc1']"
46736583,inter_rxn_one_to_beta,"['C=Cc1ccc([N+](=O)[O-])cc1', 'O=C1C(O)=C(I)C(=O)c2ccccc21']"
46736585,inter_rxn_one_to_beta,"['C=Cc1ccccc1[N+](=O)[O-]', 'O=C1C(O)=C(I)C(=O)c2ccccc21']"
46776938,inter_rxn_one_to_beta,"['C=Cc1ccc2cc(OC)ccc2c1', 'Brc1cccs1']"
46985798,inter_rxn_one_to_beta,"['C=CC(=O)O', 'Cc1cc(Br)c([N+](=O)[O-])c(C)c1NC(=O)CC(C)(C)C']"
47544714,inter_rxn_one_to_beta,"['C=Cc1ccc(F)c(F)c1', 'COc1ccc(CN2C(=O)C(=C(c3ccc(O)cc3)c3ccc(O)cc3)c3cc(Br)ccc32)cc1']"
48189870,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Brc1cc2c(c(OCc3ccccc3)c1)Oc1cc3c(cc1C=C2)OCO3']"
48407486,inter_rxn_one_to_beta,"['C=CC(N)=O', 'Brc1ccc2cn[nH]c2c1']"
48420483,inter_rxn_one_to_beta,"['C=CC(=O)Nc1cccnc1', 'Oc1ccc(Br)nc1']"
48421696,inter_rxn_one_to_beta,"['C=CCC(=O)OC(C)(C)C', 'COc1cc(N(C)C(=O)OC(C)(C)C)c(Br)cn1']"
48430389,inter_rxn_one_to_beta,"['C=CNC(C)=O', 'CCOC(=O)c1sc2nc(C)cc(C)c2c1Br']"
48547745,inter_rxn_one_to_beta,"['C=CCC(C)O', 'COc1ccc(C(CC(=O)OC(C)(C)C)n2ccc(Br)n2)cn1']"
48548112,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'CCOC(=O)c1cc(I)nn1COCC[Si](C)(C)C']"
48551421,inter_rxn_one_to_beta,"['C=CB1OC(C)(C)C(C)(C)O1', 'O=[N+]([O-])c1cc(Br)c(F)cc1CN1CCOCC1']"
48577721,inter_rxn_one_to_beta,"['C=Cc1ccncc1', 'CC(C)(C)OC(=O)N1CC[C@H]1COc1cncc(Br)c1']"
48680873,inter_rxn_one_to_beta,"['C=Cc1ccncc1', 'Cn1c2ccc(Br)cc2c2cc(C=O)ccc21']"
48779473,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=C(O)c1cccc2c(Br)cccc12']"
48844277,inter_rxn_one_to_beta,"['C=Cc1nc2ccccc2s1', 'CCN(CC)S(=O)(=O)c1ccc(Br)cc1Cl']"
48844300,inter_rxn_one_to_beta,"['C=Cc1nc2ccccc2s1', 'CCN(CC)S(=O)(=O)c1ccc(Br)cc1F']"
48919823,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'O=C(CCc1ccccc1)Nc1cc(Br)cc(I)c1']"
48919837,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'CC(C)=CCc1cc(I)ccc1OC(=O)CC1CCCCC1']"
48921781,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'COc1ccc(Br)c(C)c1']"
48988209,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC(C)(C)c1ccc(I)cc1']"
49105650,inter_rxn_one_to_beta,"['C=Cc1ccc(SC)cc1', 'Clc1c2cc(Br)ccc2nc2c1[nH]c1ccccc12']"
49105674,inter_rxn_one_to_beta,"['C=Cc1ccc(SC)cc1', 'Clc1c2cc(Br)ccc2nc2c1oc1ccccc12']"
49249350,inter_rxn_one_to_beta,"['C=CC(=O)OCc1ccccc1', 'O=C1NCCCC[C@@H]1N1Cc2cc(Br)ccc2C1=O']"
49373020,inter_rxn_one_to_beta,"['C=Cc1ccncc1', 'Brc1ccc2c(c1)OCO2']"
49785996,inter_rxn_one_to_beta,"['C=Cc1nc(-c2ccccc2)nn1-c1ccccc1', 'Brc1ccccc1']"
49790637,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'COc1ccc(C=O)c(Br)c1']"
49968154,inter_rxn_one_to_beta,"['C=CC(=O)NC1CCCCNC1=O', 'Brc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1']"
50042407,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Brc1cnc(NCc2ccccc2)c2ccccc12']"
50045867,inter_rxn_one_to_beta,"['C=C[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](OC=O)C[C@H]1[C@@H](CC)[C@H]3OC=O', 'COC(=O)c1cccc(I)c1']"
50156449,inter_rxn_one_to_beta,"['C=Cc1ccc(OC)c(O)c1', 'COc1cc(Br)cc(OC)c1']"
50416910,inter_rxn_one_to_beta,"['C=Cc1ccccn1', 'CN(C)c1ccc(C=Cc2ccc(Br)c3nsnc23)cc1']"
50794363,inter_rxn_one_to_beta,"['C=Cc1ccc(O)cc1', 'COC(=O)Cn1c(=O)c(Cl)nc2ccccc21']"
51254259,inter_rxn_one_to_beta,"['C=CB1OC(C)(C)C(C)(C)O1', 'Cc1c(Br)cccc1-c1ccccc1']"
51959675,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'COc1ccc(-c2oc3c(I)c(OC)cc(O)c3c(=O)c2OC)cc1OC']"
51968673,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Fc1cccc(Cn2ncc3cc(Nc4ncncc4I)ccc32)c1']"
51968675,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Cc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1I']"
52028547,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Brc1cccc(CNc2ccc3ccccc3c2)c1']"
52044292,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'COC(=O)c1ccc(C(F)(F)F)nc1Br']"
52130842,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'C[C@@H]1c2ccccc2CCN1C(=O)c1cc(-c2ccccc2)n2nc(-c3ccc(Br)cc3F)cc2n1']"
52268373,inter_rxn_one_to_beta,"['C=CC(=O)N(C)Cc1oc2ccccc2c1C', 'CC(C)(C)OC(=O)NC1Cc2cc(Br)cnc2NC1=O']"
52268375,inter_rxn_one_to_beta,"['C=CC(=O)N(C)Cc1oc2ccccc2c1C', 'CC(C)(C)OC(=O)NCC1Cc2cc(Br)cnc2NC1=O']"
52268377,inter_rxn_one_to_beta,"['C=CC(=O)N(C)Cc1oc2ccccc2c1C', 'CC(C)(C)OC(=O)NCCC1Cc2cc(Br)cnc2NC1=O']"
52431325,inter_rxn_one_to_beta,"['C=CCC(C)(O)CCCNC(=O)OC(C)(C)C', 'Cn1c(=O)n(C2CCC(=O)NC2=O)c2ccc(Br)cc21']"
52431343,inter_rxn_one_to_beta,"['C=CCOCCOCC(=O)OC(C)(C)C', 'Cn1c(=O)n(C2CCC(=O)NC2=O)c2ccc(Br)cc21']"
52455510,inter_rxn_one_to_beta,"['C=CCO/N=C1\\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3', 'Brc1ccc2occc2c1']"
52455512,inter_rxn_one_to_beta,"['C=CCO/N=C1\\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3', 'O=C1OCc2cc(Br)ccc21']"
52455513,inter_rxn_one_to_beta,"['C=CCO/N=C1\\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3', 'Brc1ccc2oc3ccccc3c2c1']"
52455514,inter_rxn_one_to_beta,"['C=CCO/N=C1\\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3', 'Ic1ccc2[nH]c3ccccc3c2c1']"
