Reaction ID,RXN type,Reactant(s)
8829504,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Brc1cccc2ccccc12']"
8938851,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'O=[N+]([O-])c1ccccc1Br']"
8949146,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'CC(=O)c1ccc(Cl)cc1']"
9178130,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'Ic1cccnc1']"
9577335,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'Oc1ccc(Br)cc1']"
9603152,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Cc1ccc(Cl)cc1']"
9763966,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'COc1ccccc1Br']"
9807433,inter_rxn_one_to_beta,"['C=CC(=O)O', 'Fc1ccc(I)cc1']"
9934134,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'CC(C)(C)c1ccc(Br)cc1']"
10197043,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'COC(=O)c1ccc(I)cc1']"
10286715,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Cc1cc(Br)ccc1C#N']"
11088244,inter_rxn_one_to_beta,"['C=CC(=O)N1CCc2cc(OC)c(OC)cc2C1', 'Cn1c(-c2ccccc2)c(I)c2cccnc21']"
23055309,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Cc1cc([N+](=O)[O-])ccc1Br']"
23835947,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'OCc1cccc(I)c1']"
28171666,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'CC(=O)c1cccc(Br)c1']"
28526439,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'Oc1ccc(I)cc1']"
28880039,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Clc1cccc(Br)c1']"
29330795,inter_rxn_one_to_beta,"['C=COCCCC', 'Clc1ncc(Cl)c(Cl)n1']"
29845877,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'CN(C)c1ccc(Br)cc1']"
30183361,inter_rxn_one_to_beta,"['C=Cc1ccc(C)cc1', 'O=[N+]([O-])c1ccc(Br)cc1']"
30675660,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC(C)(C)OC(=O)N1CCCC2(CC(=O)c3cc(Br)ccc3O2)C1']"
30675661,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC(C)(C)OC(=O)N1CCCC2(CC1)CC(=O)c1cc(Br)ccc1O2']"
30675662,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC(C)(C)OC(=O)N1CC2(CC(=O)c3cc(Br)ccc3O2)C1']"
30721060,inter_rxn_one_to_beta,"['C=Cc1ccc(F)cc1', 'COc1ccc(Br)cc1']"
30793678,inter_rxn_one_to_beta,"['C=Cc1ccc(OC)cc1', 'Cc1ccc2cc(Br)ccc2n1']"
32035367,inter_rxn_one_to_beta,"['C=Cc1ccc(Cl)cc1', 'O=[N+]([O-])c1ccc(Br)cc1']"
32236112,inter_rxn_one_to_beta,"['C=CC(N)=O', 'CCc1cccc(Br)c1']"
32545627,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'Clc1ccccc1I']"
33408186,inter_rxn_one_to_beta,"['C=CC(=O)N1N=Cc2ccccc2C1CCC', 'COc1cc(Cc2cnc(N)nc2N)cc(I)c1OC']"
36250133,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'FC(F)(F)c1ccc(Br)cc1']"
2410572,inter_rxn_one_to_beta,"['C=Cc1ccc(OC)cc1', 'CC(=O)c1ccc(Br)cc1']"
3352135,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC(=O)c1ccccc1Br']"
3533516,inter_rxn_one_to_beta,"['C=CC(=O)O', 'Cc1ccc(Br)cc1']"
4082274,inter_rxn_one_to_beta,"['C=CC(=O)O', 'CC(=O)c1ccc(Br)cc1']"
4093654,inter_rxn_one_to_beta,"['C=CC(=O)O', 'Cc1ccc(I)cc1']"
4896635,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Oc1ccc(I)cc1']"
5282543,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'O=C(O)c1ccc(I)cc1']"
8748500,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Cc1ccc(I)cc1']"
9083100,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'FC(F)(F)c1ccc(Cl)cc1']"
9128504,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Brc1cccc2ccccc12']"
9180751,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'Brc1cnc2ccccc2c1']"
9187012,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'CC(C)(C)C(=O)Oc1ccc2ccccc2c1-c1c(O)ccc2cc(Br)ccc12']"
9211014,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Clc1ccc(Br)cc1']"
9388930,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'Clc1cccc(I)c1']"
9447572,inter_rxn_one_to_beta,"['C=Cc1ccc(OC)cc1', 'Cc1ccc(Br)cc1']"
9507132,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'O=[N+]([O-])c1cccc(I)c1']"
9609264,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Fc1ccc(I)cc1']"
9646684,inter_rxn_one_to_beta,"['C=CC(=O)OCC(CC)CCCC', 'COc1ccc(I)cc1']"
11027353,inter_rxn_one_to_beta,"['C=Cc1ccc2c(n1)N(C(=O)OC(C)(C)C)CCC2', 'Brc1cccc2[nH]ccc12']"
23055302,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Cc1cc(C(=O)OCc2ccccc2)ccc1Br']"
23234099,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Nc1ncc(I)c2scc(-c3ccc(Oc4ccccc4)cc3)c12']"
23491801,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Cc1cc(C#N)ccc1Br']"
23491810,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC(=O)c1cc(OCc2ccccc2)cc([N+](=O)[O-])c1OS(=O)(=O)C(F)(F)F']"
23576350,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Brc1cccc(SCc2csc(-c3ccccc3)n2)c1']"
25675266,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Brc1cccc2[nH]ccc12']"
26050002,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=[N+]([O-])c1ccccc1I']"
26050448,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'COc1cccc(I)c1']"
28627158,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Nc1ccccc1I']"
29017860,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'Fc1cc(Br)ccc1OC(F)F']"
29317686,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Brc1cccnc1']"
29391498,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'Cc1cccc(Br)c1']"
29632657,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'Ic1ccc2[nH]c3ccccc3c2c1']"
29759474,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'Clc1cccc(Br)c1']"
30085164,inter_rxn_one_to_beta,"['C=Cc1ccc(C(C)=O)cc1', 'Brc1ccccc1']"
30085165,inter_rxn_one_to_beta,"['C=Cc1ccc2ccccc2c1', 'Brc1ccccc1']"
30278281,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Cc1c(Br)cccc1[N+](=O)[O-]']"
30408280,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'O=Cc1ccc(Br)cn1']"
30675659,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'CC(C)(C)OC(=O)N1CCC2(CC(=O)c3cc(Br)ccc3O2)C1']"
